APR,LTV,FICO,Stated Income,Home Value
10.26,0.786,620,70,220
8.65,0.99,670,80,324
10.6,0.742,570,90,228
11.21,0.914,600,70,100
11.48,0.933,530,80,198
12.94,0.689,530,90,253
14.3,0.57,560,50,129
11.54,0.509,540,50,295
11.1,0.686,550,70,127
10.94,0.712,540,90,242
12.57,0.99,550,90,118
11.52,0.912,590,90,117
14.1,0.766,580,80,351
12.7,0.8,590,50,147
11.6,0.692,570,70,397
12.13,0.874,540,50,103
13.59,0.538,440,80,232
12.29,0.844,600,80,142
10.21,0.786,650,70,215
19.6,0.634,550,100,170
16.26,0.546,510,80,276
15.9,0.592,520,50,116
13.24,0.694,480,40,82
11.17,0.846,550,80,91
12.51,0.549,490,110,170
13.81,0.619,490,60,224
11.12,0.682,580,40,407
13.91,0.646,530,60,140
10.88,0.841,570,50,103
11.18,0.819,660,30,452
12.64,0.656,540,80,175
9.29,0.889,670,90,128
10.15,0.982,590,70,136
15.58,0.885,550,50,112
12.09,0.932,510,60,208
12.56,0.75,550,50,306
15.44,0.773,450,80,93
13.12,0.579,540,120,372
11.9,0.822,530,40,250
13.38,0.596,480,70,312
11.31,0.961,530,90,221
12.58,0.969,560,90,127
13.81,0.51,480,70,182
12.29,0.672,510,70,79
11.39,0.968,600,30,56
10.15,0.867,640,60,131
12.44,0.772,490,70,88
13.12,0.656,510,50,90
12.93,0.869,570,60,103
11.36,0.727,580,30,179
11.72,0.632,650,100,168
11.92,0.516,500,50,58
12.72,0.669,480,100,230
12.35,0.54,540,100,204
10.88,0.821,570,40,109
13.33,0.846,600,70,110
10.3,0.975,590,60,112
9.69,0.942,640,80,195
11.55,0.883,570,80,82
13.94,0.799,540,80,96
13.69,0.66,560,40,229
10.3,0.842,580,60,106
9.52,0.824,620,40,183
13.86,1,600,60,111
12.9,0.682,570,70,184
10.24,0.875,570,40,168
11.31,0.601,550,80,222
13.14,0.883,500,90,363
11.25,0.745,620,40,154
12.96,0.758,570,90,135
14.71,0.695,500,80,142
12.06,0.886,550,110,90
12.34,0.911,620,80,183
13.38,0.562,530,100,258
11.11,0.605,570,50,109
10.09,0.976,590,70,117
11.29,0.834,550,70,158
11.77,0.815,580,100,221
13.14,0.829,550,50,214
10.38,0.876,610,80,223
14.78,0.712,470,70,113
15.39,0.568,480,90,131
14.41,0.581,410,110,112
14.45,0.775,520,50,58
12.97,0.991,560,90,273
13.35,0.563,450,50,59
11.19,0.855,560,50,94
10.51,0.929,670,80,421
13.87,0.642,470,60,143
9.66,0.987,620,50,91
12.07,0.908,550,80,383
14.26,0.66,460,50,143
9.74,0.823,620,100,187
10.42,0.776,570,70,245
13.67,0.801,570,50,355
14.54,0.858,510,60,207
10.66,0.914,560,50,185
15.35,0.738,490,90,114
12.33,0.771,580,60,167
11.69,0.767,540,80,172
12.54,0.579,490,80,177
12.45,0.922,530,50,137
10.29,0.63,620,50,85
13.24,0.62,480,50,194
11.06,0.752,580,70,211
11.42,0.527,560,80,116
