APR,LTV,FICO
11.24,0.827,630
13.12,0.97,600
14.3,0.584,420
13.39,0.801,510
10.7,0.684,540
11.42,0.719,610
13.52,0.791,510
12.39,0.637,610
8.63,0.968,720
10.42,0.577,590
10.26,0.746,550
17.7,0.596,470
17.21,0.59,430
13.28,0.539,510
15.39,0.53,540
12.66,0.729,540
15.63,0.567,430
14.44,0.532,500
11.69,0.993,540
12.24,0.799,540
12.29,0.992,550
12.24,0.997,510
11.81,0.684,570
12.8,0.972,510
10.81,0.999,590
12.31,0.663,530
11.47,0.605,530
12.23,0.506,460
12.34,0.916,570
11.83,0.675,580
10.31,0.956,590
11.4,0.59,600
11.68,0.577,580
12.51,0.605,520
12.08,0.769,500
15.04,0.847,580
13.19,0.979,630
14.46,0.759,570
12.69,0.588,520
12.06,0.812,480
13.13,0.633,530
16.04,0.573,410
11.21,0.612,520
13.72,0.649,500
13.33,0.596,500
12.8,0.539,540
10.59,0.963,560
12.34,0.793,560
10.42,0.883,600
11.05,0.819,580
17.56,0.703,530
12.78,0.591,540
13.52,0.78,470
9.45,0.964,640
7.96,0.989,670
12.6,0.565,520
13.99,0.631,470
11.51,0.852,540
9.67,0.596,610
13.04,0.841,490
12.58,0.541,580
12.89,0.72,620
12.65,0.86,480
10.27,0.731,630
10.68,0.635,610
10.03,0.997,620
14.14,0.765,570
10.88,0.925,570
11.99,0.713,550
11.32,0.804,520
11.33,0.794,530
14.02,0.567,500
13.83,0.711,490
11.03,0.733,600
12.6,0.828,570
11.35,0.787,550
10.65,0.907,630
13.85,0.547,550
10.97,0.638,550
12.42,0.636,460
12.1,0.622,510
14,0.512,520
11.93,0.806,480
14.55,0.581,480
14.39,0.782,590
10.26,0.786,620
8.65,0.99,670
10.6,0.742,570
11.21,0.914,600
11.48,0.933,530
12.94,0.689,530
14.3,0.57,560
11.54,0.509,540
11.1,0.686,550
10.94,0.712,540
12.57,0.99,550
11.52,0.912,590
14.1,0.766,580
12.7,0.8,590
11.6,0.692,570
12.13,0.874,540
13.59,0.538,440
12.29,0.844,600
10.21,0.786,650
19.6,0.634,550
16.26,0.546,510
15.9,0.592,520
13.24,0.694,480
11.17,0.846,550
12.51,0.549,490
13.81,0.619,490
11.12,0.682,580
13.91,0.646,530
10.88,0.841,570
11.18,0.819,660
12.64,0.656,540
9.29,0.889,670
10.15,0.982,590
15.58,0.885,550
12.09,0.932,510
12.56,0.75,550
15.44,0.773,450
13.12,0.579,540
11.9,0.822,530
13.38,0.596,480
11.31,0.961,530
12.58,0.969,560
13.81,0.51,480
12.29,0.672,510
11.39,0.968,600
10.15,0.867,640
12.44,0.772,490
13.12,0.656,510
12.93,0.869,570
11.36,0.727,580
11.72,0.632,650
11.92,0.516,500
12.72,0.669,480
12.35,0.54,540
10.88,0.821,570
13.33,0.846,600
10.3,0.975,590
9.69,0.942,640
11.55,0.883,570
13.94,0.799,540
13.69,0.66,560
10.3,0.842,580
9.52,0.824,620
13.86,1,600
12.9,0.682,570
10.24,0.875,570
11.31,0.601,550
13.14,0.883,500
11.25,0.745,620
12.96,0.758,570
14.71,0.695,500
12.06,0.886,550
12.34,0.911,620
13.38,0.562,530
11.11,0.605,570
10.09,0.976,590
11.29,0.834,550
11.77,0.815,580
13.14,0.829,550
10.38,0.876,610
14.78,0.712,470
15.39,0.568,480
14.41,0.581,410
14.45,0.775,520
12.97,0.991,560
13.35,0.563,450
11.19,0.855,560
10.51,0.929,670
13.87,0.642,470
9.66,0.987,620
12.07,0.908,550
14.26,0.66,460
9.74,0.823,620
10.42,0.776,570
13.67,0.801,570
14.54,0.858,510
10.66,0.914,560
15.35,0.738,490
12.33,0.771,580
11.69,0.767,540
12.54,0.579,490
12.45,0.922,530
10.29,0.63,620
13.24,0.62,480
11.06,0.752,580
11.42,0.527,560
