"schedtime","carrier","dest","distance","date","flightnumber","origin","weather","dayweek","daymonth","delay"
"17","DH","JFK",228,"1/3/2004",7812,"IAD",0,6,3,0
"21","DH","JFK",228,"1/3/2004",7814,"IAD",0,6,3,1
"16","DH","JFK",228,"1/3/2004",7816,"IAD",0,6,3,0
"21","DH","LGA",229,"1/3/2004",7924,"IAD",0,6,3,0
"14","DL","JFK",213,"1/3/2004",746,"DCA",0,6,3,1
"8","DL","LGA",214,"1/3/2004",1744,"DCA",0,6,3,0
"10","DL","LGA",214,"1/3/2004",1748,"DCA",0,6,3,0
"12","DL","LGA",214,"1/3/2004",1752,"DCA",0,6,3,0
"14","DL","LGA",214,"1/3/2004",1756,"DCA",0,6,3,0
"16","DL","LGA",214,"1/3/2004",1760,"DCA",0,6,3,0
"18","DL","LGA",214,"1/3/2004",1764,"DCA",0,6,3,0
"20","DL","LGA",214,"1/3/2004",1768,"DCA",0,6,3,0
"15","MQ","JFK",213,"1/3/2004",4752,"DCA",0,6,3,1
"6","MQ","JFK",213,"1/3/2004",4760,"DCA",0,6,3,0
"18","MQ","JFK",213,"1/3/2004",4784,"DCA",0,6,3,0
"9","MQ","LGA",214,"1/3/2004",4956,"DCA",0,6,3,0
"13","MQ","LGA",214,"1/3/2004",4964,"DCA",0,6,3,0
"8","UA","LGA",229,"1/3/2004",846,"IAD",0,6,3,0
"7","US","LGA",214,"1/3/2004",2160,"DCA",0,6,3,0
"9","US","LGA",214,"1/3/2004",2164,"DCA",0,6,3,0
"11","US","LGA",214,"1/3/2004",2168,"DCA",0,6,3,0
"13","US","LGA",214,"1/3/2004",2172,"DCA",0,6,3,0
"15","US","LGA",214,"1/3/2004",2176,"DCA",0,6,3,0
"17","US","LGA",214,"1/3/2004",2180,"DCA",0,6,3,0
"19","US","LGA",214,"1/3/2004",2184,"DCA",0,6,3,0
"17","RU","EWR",169,"1/3/2004",2675,"BWI",0,6,3,0
"7","RU","EWR",169,"1/3/2004",2703,"BWI",0,6,3,0
"10","RU","EWR",169,"1/3/2004",2303,"BWI",0,6,3,0
"14","RU","EWR",169,"1/3/2004",2267,"BWI",0,6,3,0
"13","CO","EWR",199,"1/3/2004",808,"DCA",0,6,3,0
"8","DH","EWR",213,"1/3/2004",7299,"IAD",0,6,3,1
"17","DH","EWR",213,"1/3/2004",7302,"IAD",0,6,3,0
"12","DH","EWR",213,"1/3/2004",7303,"IAD",0,6,3,1
"21","DH","EWR",213,"1/3/2004",7304,"IAD",0,6,3,0
"6","DH","EWR",213,"1/3/2004",7371,"IAD",0,6,3,0
"17","RU","EWR",213,"1/3/2004",2497,"IAD",0,6,3,0
"14","RU","EWR",199,"1/3/2004",2216,"DCA",0,6,3,0
"7","RU","EWR",213,"1/3/2004",2855,"IAD",0,6,3,0
"9","RU","EWR",199,"1/3/2004",2582,"DCA",0,6,3,0
"17","RU","EWR",199,"1/3/2004",2097,"DCA",0,6,3,0
"16","RU","EWR",199,"1/3/2004",2181,"DCA",0,6,3,0
"15","RU","EWR",213,"1/3/2004",2156,"IAD",0,6,3,0
"7","RU","EWR",199,"1/3/2004",2761,"DCA",0,6,3,0
"14","OH","JFK",184,"1/4/2004",5935,"BWI",0,7,4,1
"16","DH","JFK",213,"1/4/2004",6155,"DCA",0,7,4,0
"12","DH","LGA",229,"1/4/2004",7208,"IAD",0,7,4,0
"14","DH","LGA",229,"1/4/2004",7211,"IAD",0,7,4,1
"17","DH","LGA",229,"1/4/2004",7215,"IAD",0,7,4,1
"6","DH","LGA",229,"1/4/2004",7790,"IAD",0,7,4,0
"10","DH","LGA",229,"1/4/2004",7792,"IAD",0,7,4,0
"8","DH","JFK",228,"1/4/2004",7800,"IAD",0,7,4,0
"12","DH","JFK",228,"1/4/2004",7806,"IAD",0,7,4,0
"14","DH","JFK",228,"1/4/2004",7808,"IAD",0,7,4,0
"16","DH","JFK",228,"1/4/2004",7810,"IAD",0,7,4,0
"17","DH","JFK",228,"1/4/2004",7812,"IAD",0,7,4,0
"21","DH","JFK",228,"1/4/2004",7814,"IAD",0,7,4,0
"16","DH","JFK",228,"1/4/2004",7816,"IAD",0,7,4,0
"21","DH","LGA",229,"1/4/2004",7924,"IAD",0,7,4,0
"14","DL","JFK",213,"1/4/2004",746,"DCA",0,7,4,0
"8","DL","LGA",214,"1/4/2004",1744,"DCA",0,7,4,0
"10","DL","LGA",214,"1/4/2004",1748,"DCA",0,7,4,0
"12","DL","LGA",214,"1/4/2004",1752,"DCA",0,7,4,0
"14","DL","LGA",214,"1/4/2004",1756,"DCA",0,7,4,0
"16","DL","LGA",214,"1/4/2004",1760,"DCA",0,7,4,0
"18","DL","LGA",214,"1/4/2004",1764,"DCA",0,7,4,0
"20","DL","LGA",214,"1/4/2004",1768,"DCA",0,7,4,0
"15","MQ","JFK",213,"1/4/2004",4752,"DCA",0,7,4,1
"6","MQ","JFK",213,"1/4/2004",4760,"DCA",0,7,4,0
"7","MQ","JFK",213,"1/4/2004",4771,"DCA",0,7,4,0
"18","MQ","JFK",213,"1/4/2004",4784,"DCA",0,7,4,1
"13","MQ","LGA",214,"1/4/2004",4964,"DCA",0,7,4,0
"15","MQ","LGA",214,"1/4/2004",4968,"DCA",0,7,4,1
"17","MQ","LGA",214,"1/4/2004",4972,"DCA",0,7,4,0
"19","MQ","LGA",214,"1/4/2004",4976,"DCA",0,7,4,1
"8","UA","LGA",229,"1/4/2004",846,"IAD",0,7,4,0
"9","US","LGA",214,"1/4/2004",2164,"DCA",0,7,4,0
"10","US","LGA",214,"1/4/2004",2166,"DCA",0,7,4,0
"11","US","LGA",214,"1/4/2004",2168,"DCA",0,7,4,0
"12","US","LGA",214,"1/4/2004",2170,"DCA",0,7,4,0
"13","US","LGA",214,"1/4/2004",2172,"DCA",0,7,4,0
"14","US","LGA",214,"1/4/2004",2174,"DCA",0,7,4,0
"15","US","LGA",214,"1/4/2004",2176,"DCA",0,7,4,0
"16","US","LGA",214,"1/4/2004",2178,"DCA",0,7,4,0
"17","US","LGA",214,"1/4/2004",2180,"DCA",0,7,4,0
"18","US","LGA",214,"1/4/2004",2182,"DCA",0,7,4,0
"19","US","LGA",214,"1/4/2004",2184,"DCA",0,7,4,0
"20","US","LGA",214,"1/4/2004",2186,"DCA",0,7,4,0
"21","US","LGA",214,"1/4/2004",2188,"DCA",0,7,4,0
"14","RU","EWR",169,"1/4/2004",2403,"BWI",0,7,4,1
"13","RU","EWR",169,"1/4/2004",2703,"BWI",0,7,4,1
"16","RU","EWR",169,"1/4/2004",2603,"BWI",0,7,4,1
"10","RU","EWR",169,"1/4/2004",2303,"BWI",0,7,4,1
"13","CO","EWR",199,"1/4/2004",808,"DCA",0,7,4,0
"16","CO","EWR",199,"1/4/2004",810,"DCA",0,7,4,1
"8","DH","EWR",213,"1/4/2004",7299,"IAD",0,7,4,0
"17","DH","EWR",213,"1/4/2004",7302,"IAD",0,7,4,1
"12","DH","EWR",213,"1/4/2004",7303,"IAD",0,7,4,1
"21","DH","EWR",213,"1/4/2004",7304,"IAD",0,7,4,1
"14","DH","EWR",213,"1/4/2004",7307,"IAD",0,7,4,1
"17","RU","EWR",199,"1/4/2004",2097,"DCA",0,7,4,1
"9","RU","EWR",199,"1/4/2004",2582,"DCA",0,7,4,0
"9","RU","EWR",213,"1/4/2004",3276,"IAD",0,7,4,0
"19","RU","EWR",213,"1/4/2004",2385,"IAD",0,7,4,1
"14","RU","EWR",199,"1/4/2004",2216,"DCA",0,7,4,1
"19","RU","EWR",199,"1/4/2004",2336,"DCA",0,7,4,1
"15","RU","EWR",213,"1/4/2004",2156,"IAD",0,7,4,1
"14","OH","JFK",184,"1/5/2004",5935,"BWI",0,1,5,1
"16","DH","JFK",213,"1/5/2004",6155,"DCA",0,1,5,1
"12","DH","LGA",229,"1/5/2004",7208,"IAD",0,1,5,1
"14","DH","LGA",229,"1/5/2004",7211,"IAD",0,1,5,1
"17","DH","LGA",229,"1/5/2004",7215,"IAD",0,1,5,1
"6","DH","LGA",229,"1/5/2004",7790,"IAD",0,1,5,1
"10","DH","LGA",229,"1/5/2004",7792,"IAD",0,1,5,0
"8","DH","JFK",228,"1/5/2004",7800,"IAD",0,1,5,1
"12","DH","JFK",228,"1/5/2004",7806,"IAD",0,1,5,1
"16","DH","JFK",228,"1/5/2004",7810,"IAD",0,1,5,0
"17","DH","JFK",228,"1/5/2004",7812,"IAD",0,1,5,0
"21","DH","JFK",228,"1/5/2004",7814,"IAD",0,1,5,1
"16","DH","JFK",228,"1/5/2004",7816,"IAD",0,1,5,1
"21","DH","LGA",229,"1/5/2004",7924,"IAD",0,1,5,0
"14","DL","JFK",213,"1/5/2004",746,"DCA",0,1,5,0
"6","DL","LGA",214,"1/5/2004",1740,"DCA",0,1,5,0
"7","DL","LGA",214,"1/5/2004",1742,"DCA",0,1,5,0
"8","DL","LGA",214,"1/5/2004",1744,"DCA",0,1,5,0
"9","DL","LGA",214,"1/5/2004",1746,"DCA",0,1,5,0
"10","DL","LGA",214,"1/5/2004",1748,"DCA",0,1,5,0
"11","DL","LGA",214,"1/5/2004",1750,"DCA",0,1,5,0
"12","DL","LGA",214,"1/5/2004",1752,"DCA",0,1,5,0
"13","DL","LGA",214,"1/5/2004",1754,"DCA",0,1,5,0
"14","DL","LGA",214,"1/5/2004",1756,"DCA",0,1,5,0
"16","DL","LGA",214,"1/5/2004",1760,"DCA",0,1,5,0
"17","DL","LGA",214,"1/5/2004",1762,"DCA",0,1,5,0
"18","DL","LGA",214,"1/5/2004",1764,"DCA",0,1,5,0
"19","DL","LGA",214,"1/5/2004",1766,"DCA",0,1,5,1
"20","DL","LGA",214,"1/5/2004",1768,"DCA",0,1,5,0
"15","MQ","JFK",213,"1/5/2004",4752,"DCA",0,1,5,0
"6","MQ","JFK",213,"1/5/2004",4760,"DCA",0,1,5,0
"7","MQ","LGA",214,"1/5/2004",4952,"DCA",0,1,5,0
"8","MQ","LGA",214,"1/5/2004",4954,"DCA",0,1,5,0
"9","MQ","LGA",214,"1/5/2004",4956,"DCA",0,1,5,0
"11","MQ","LGA",214,"1/5/2004",4960,"DCA",0,1,5,0
"13","MQ","LGA",214,"1/5/2004",4964,"DCA",0,1,5,0
"16","MQ","LGA",214,"1/5/2004",4970,"DCA",0,1,5,1
"17","MQ","LGA",214,"1/5/2004",4972,"DCA",0,1,5,0
"19","MQ","LGA",214,"1/5/2004",4976,"DCA",0,1,5,1
"8","UA","LGA",229,"1/5/2004",846,"IAD",0,1,5,0
"6","US","LGA",214,"1/5/2004",1479,"DCA",0,1,5,1
"7","US","LGA",214,"1/5/2004",2160,"DCA",0,1,5,0
"8","US","LGA",214,"1/5/2004",2162,"DCA",0,1,5,0
"9","US","LGA",214,"1/5/2004",2164,"DCA",0,1,5,0
"10","US","LGA",214,"1/5/2004",2166,"DCA",0,1,5,0
"11","US","LGA",214,"1/5/2004",2168,"DCA",0,1,5,0
"12","US","LGA",214,"1/5/2004",2170,"DCA",0,1,5,0
"13","US","LGA",214,"1/5/2004",2172,"DCA",0,1,5,0
"14","US","LGA",214,"1/5/2004",2174,"DCA",0,1,5,0
"15","US","LGA",214,"1/5/2004",2176,"DCA",0,1,5,0
"16","US","LGA",214,"1/5/2004",2178,"DCA",0,1,5,0
"17","US","LGA",214,"1/5/2004",2180,"DCA",0,1,5,0
"18","US","LGA",214,"1/5/2004",2182,"DCA",0,1,5,0
"19","US","LGA",214,"1/5/2004",2184,"DCA",0,1,5,0
"20","US","LGA",214,"1/5/2004",2186,"DCA",0,1,5,0
"21","US","LGA",214,"1/5/2004",2188,"DCA",0,1,5,0
"7","RU","EWR",169,"1/5/2004",2703,"BWI",0,1,5,1
"14","RU","EWR",169,"1/5/2004",2403,"BWI",0,1,5,1
"10","RU","EWR",169,"1/5/2004",2303,"BWI",0,1,5,1
"13","CO","EWR",199,"1/5/2004",808,"DCA",0,1,5,1
"7","CO","EWR",199,"1/5/2004",806,"DCA",0,1,5,0
"17","CO","EWR",199,"1/5/2004",814,"DCA",0,1,5,1
"8","DH","EWR",213,"1/5/2004",7299,"IAD",0,1,5,0
"17","DH","EWR",213,"1/5/2004",7302,"IAD",0,1,5,1
"12","DH","EWR",213,"1/5/2004",7303,"IAD",0,1,5,1
"21","DH","EWR",213,"1/5/2004",7304,"IAD",0,1,5,1
"14","DH","EWR",213,"1/5/2004",7307,"IAD",0,1,5,1
"6","DH","EWR",213,"1/5/2004",7371,"IAD",0,1,5,0
"7","RU","EWR",199,"1/5/2004",2761,"DCA",0,1,5,0
"9","RU","EWR",199,"1/5/2004",2582,"DCA",0,1,5,1
"13","RU","EWR",213,"1/5/2004",2692,"IAD",0,1,5,1
"21","RU","EWR",199,"1/5/2004",2879,"DCA",0,1,5,0
"7","RU","EWR",213,"1/5/2004",2855,"IAD",0,1,5,0
"14","RU","EWR",199,"1/5/2004",2216,"DCA",0,1,5,1
"19","RU","EWR",199,"1/5/2004",2336,"DCA",0,1,5,1
"15","RU","EWR",213,"1/5/2004",2156,"IAD",0,1,5,1
"9","RU","EWR",213,"1/5/2004",3276,"IAD",0,1,5,0
"15","RU","EWR",199,"1/5/2004",2261,"DCA",0,1,5,1
"14","OH","JFK",184,"1/6/2004",5935,"BWI",0,2,6,0
"12","DH","LGA",229,"1/6/2004",7208,"IAD",0,2,6,0
"14","DH","LGA",229,"1/6/2004",7211,"IAD",0,2,6,0
"17","DH","LGA",229,"1/6/2004",7215,"IAD",0,2,6,0
"6","DH","LGA",229,"1/6/2004",7790,"IAD",0,2,6,0
"10","DH","LGA",229,"1/6/2004",7792,"IAD",0,2,6,0
"8","DH","JFK",228,"1/6/2004",7800,"IAD",0,2,6,0
"12","DH","JFK",228,"1/6/2004",7806,"IAD",0,2,6,0
"14","DH","JFK",228,"1/6/2004",7808,"IAD",0,2,6,0
"16","DH","JFK",228,"1/6/2004",7810,"IAD",0,2,6,0
"17","DH","JFK",228,"1/6/2004",7812,"IAD",0,2,6,1
"21","DH","JFK",228,"1/6/2004",7814,"IAD",0,2,6,1
"16","DH","JFK",228,"1/6/2004",7816,"IAD",0,2,6,0
"21","DH","LGA",229,"1/6/2004",7924,"IAD",0,2,6,0
"14","DL","JFK",213,"1/6/2004",746,"DCA",0,2,6,0
"6","DL","LGA",214,"1/6/2004",1740,"DCA",0,2,6,0
"7","DL","LGA",214,"1/6/2004",1742,"DCA",0,2,6,0
"8","DL","LGA",214,"1/6/2004",1744,"DCA",0,2,6,0
"9","DL","LGA",214,"1/6/2004",1746,"DCA",0,2,6,0
"10","DL","LGA",214,"1/6/2004",1748,"DCA",0,2,6,0
"11","DL","LGA",214,"1/6/2004",1750,"DCA",0,2,6,0
"12","DL","LGA",214,"1/6/2004",1752,"DCA",0,2,6,0
"13","DL","LGA",214,"1/6/2004",1754,"DCA",0,2,6,0
"14","DL","LGA",214,"1/6/2004",1756,"DCA",0,2,6,0
"15","DL","LGA",214,"1/6/2004",1758,"DCA",0,2,6,0
"16","DL","LGA",214,"1/6/2004",1760,"DCA",0,2,6,0
"17","DL","LGA",214,"1/6/2004",1762,"DCA",0,2,6,0
"18","DL","LGA",214,"1/6/2004",1764,"DCA",0,2,6,0
"19","DL","LGA",214,"1/6/2004",1766,"DCA",0,2,6,0
"20","DL","LGA",214,"1/6/2004",1768,"DCA",0,2,6,0
"15","MQ","JFK",213,"1/6/2004",4752,"DCA",0,2,6,0
"6","MQ","JFK",213,"1/6/2004",4760,"DCA",0,2,6,0
"18","MQ","JFK",213,"1/6/2004",4784,"DCA",0,2,6,0
"7","MQ","LGA",214,"1/6/2004",4952,"DCA",0,2,6,0
"8","MQ","LGA",214,"1/6/2004",4954,"DCA",0,2,6,0
"9","MQ","LGA",214,"1/6/2004",4956,"DCA",0,2,6,0
"11","MQ","LGA",214,"1/6/2004",4960,"DCA",0,2,6,0
"13","MQ","LGA",214,"1/6/2004",4964,"DCA",0,2,6,0
"14","MQ","LGA",214,"1/6/2004",4966,"DCA",0,2,6,0
"15","MQ","LGA",214,"1/6/2004",4968,"DCA",0,2,6,1
"16","MQ","LGA",214,"1/6/2004",4970,"DCA",0,2,6,0
"17","MQ","LGA",214,"1/6/2004",4972,"DCA",0,2,6,0
"19","MQ","LGA",214,"1/6/2004",4976,"DCA",0,2,6,0
"8","UA","LGA",229,"1/6/2004",846,"IAD",0,2,6,0
"6","US","LGA",214,"1/6/2004",1479,"DCA",0,2,6,0
"7","US","LGA",214,"1/6/2004",2160,"DCA",0,2,6,0
"8","US","LGA",214,"1/6/2004",2162,"DCA",0,2,6,0
"9","US","LGA",214,"1/6/2004",2164,"DCA",0,2,6,0
"10","US","LGA",214,"1/6/2004",2166,"DCA",0,2,6,0
"11","US","LGA",214,"1/6/2004",2168,"DCA",0,2,6,0
"12","US","LGA",214,"1/6/2004",2170,"DCA",0,2,6,0
"13","US","LGA",214,"1/6/2004",2172,"DCA",0,2,6,0
"14","US","LGA",214,"1/6/2004",2174,"DCA",0,2,6,0
"15","US","LGA",214,"1/6/2004",2176,"DCA",0,2,6,0
"16","US","LGA",214,"1/6/2004",2178,"DCA",0,2,6,0
"17","US","LGA",214,"1/6/2004",2180,"DCA",0,2,6,0
"18","US","LGA",214,"1/6/2004",2182,"DCA",0,2,6,0
"19","US","LGA",214,"1/6/2004",2184,"DCA",0,2,6,0
"20","US","LGA",214,"1/6/2004",2186,"DCA",0,2,6,0
"21","US","LGA",214,"1/6/2004",2188,"DCA",0,2,6,0
"14","RU","EWR",169,"1/6/2004",2403,"BWI",0,2,6,0
"17","RU","EWR",169,"1/6/2004",3372,"BWI",0,2,6,1
"7","RU","EWR",169,"1/6/2004",2703,"BWI",0,2,6,0
"10","RU","EWR",169,"1/6/2004",2303,"BWI",0,2,6,0
"17","CO","EWR",199,"1/6/2004",814,"DCA",0,2,6,1
"13","CO","EWR",199,"1/6/2004",808,"DCA",0,2,6,0
"19","CO","EWR",199,"1/6/2004",816,"DCA",0,2,6,1
"7","CO","EWR",199,"1/6/2004",806,"DCA",0,2,6,0
"8","DH","EWR",213,"1/6/2004",7299,"IAD",0,2,6,0
"17","DH","EWR",213,"1/6/2004",7302,"IAD",0,2,6,0
"12","DH","EWR",213,"1/6/2004",7303,"IAD",0,2,6,0
"21","DH","EWR",213,"1/6/2004",7304,"IAD",0,2,6,0
"14","DH","EWR",213,"1/6/2004",7307,"IAD",0,2,6,0
"6","DH","EWR",213,"1/6/2004",7371,"IAD",0,2,6,0
"21","RU","EWR",199,"1/6/2004",2879,"DCA",0,2,6,1
"9","RU","EWR",199,"1/6/2004",2582,"DCA",0,2,6,0
"19","RU","EWR",213,"1/6/2004",2385,"IAD",0,2,6,1
"15","RU","EWR",213,"1/6/2004",2156,"IAD",0,2,6,0
"7","RU","EWR",213,"1/6/2004",2855,"IAD",0,2,6,0
"15","RU","EWR",199,"1/6/2004",2261,"DCA",0,2,6,1
"13","RU","EWR",213,"1/6/2004",2367,"IAD",0,2,6,0
"13","RU","EWR",199,"1/6/2004",2216,"DCA",0,2,6,0
"17","RU","EWR",213,"1/6/2004",2497,"IAD",0,2,6,0
