Sales,Volume,Site
1812,2104,Site 1
2463,3283,Site 1
2222,3750,Site 1
2324,3494,Site 1
2219,3154,Site 1
2505,3465,Site 1
2047,2216,Site 1
2231,3236,Site 1
2067,3425,Site 1
2293,3667,Site 1
2152,3618,Site 1
1366,2257,Site 1
2210,3606,Site 1
2029,3460,Site 1
2742,2336,Site 1
2161,3113,Site 1
2223,3058,Site 1
2186,2429,Site 1
2306,3501,Site 1
1933,3183,Site 1
2485,3337,Site 1
2817,3566,Site 1
2491,3398,Site 1
1896,2519,Site 1
2382,3716,Site 1
2552,3856,Site 1
2094,3488,Site 1
2447,3457,Site 1
2440,3831,Site 1
2041,2280,Site 1
2261,2411,Site 1
2114,3208,Site 1
2866,3539,Site 1
2752,3719,Site 1
2502,4150,Site 1
1786,2927,Site 1
2157,3044,Site 1
2025,3390,Site 1
2327,3840,Site 1
2502,3697,Site 1
2552,4104,Site 1
2017,3749,Site 1
2019,3511,Site 1
2302,3972,Site 1
2419,3413,Site 1
2921,3882,Site 1
2273,3950,Site 1
2183,3292,Site 1
2428,3979,Site 1
2489,4668,Site 1
2037,3832,Site 1
2324,3930,Site 1
2591,3853,Site 1
2362,4014,Site 1
3001,4759,Site 1
1801,2661,Site 1
1744,4165,Site 1
2428,4139,Site 1
2409,3664,Site 1
2819,3851,Site 1
1897,2522,Site 1
1536,1208,Site 1
2475,3844,Site 1
2484,3766,Site 1
2117,3535,Site 1
2488,3900,Site 1
2553,3900,Site 1
2251,3814,Site 1
2435,3387,Site 1
2446,4009,Site 1
2063,1951,Site 1
2582,3779,Site 1
1663,2368,Site 1
2302,3379,Site 1
2248,3549,Site 1
2712,3807,Site 1
2307,4009,Site 1
2576,3759,Site 1
1978,2378,Site 1
2116,4090,Site 1
2292,3241,Site 1
2373,3874,Site 1
2444,4142,Site 1
2578,3645,Site 1
1953,2419,Site 1
2151,3289,Site 1
2901,3872,Site 1
2514,4136,Site 1
2078,3626,Site 1
2492,4240,Site 1
1897,2415,Site 1
2072,3028,Site 1
2538,3731,Site 1
2422,3851,Site 1
2415,3818,Site 1
2969,4268,Site 1
1775,2514,Site 1
2082,3708,Site 1
2121,3367,Site 1
2471,3685,Site 1
2467,3415,Site 1
2671,4226,Site 1
1876,2061,Site 1
1976,3805,Site 1
2156,3427,Site 1
2339,3670,Site 1
2258,3939,Site 1
2776,3798,Site 1
2084,2668,Site 1
2346,3945,Site 1
2320,3787,Site 1
2539,3854,Site 1
2393,3598,Site 1
2629,3717,Site 1
2044,2536,Site 1
2018,401,Site 1
2350,2361,Site 1
2452,4005,Site 1
2041,2391,Site 1
2038,3129,Site 1
2181,3874,Site 1
2516,4072,Site 1
2181,3603,Site 1
2427,4173,Site 1
2111,3993,Site 1
2182,3153,Site 1
2794,3812,Site 1
1893,2369,Site 1
1586,2567,Site 1
2293,3682,Site 1
2381,3476,Site 1
2957,4352,Site 1
2533,3829,Site 1
2721,3772,Site 1
2079,3826,Site 1
2170,3169,Site 1
2174,3737,Site 1
2240,3612,Site 1
2489,3749,Site 1
1849,2511,Site 1
2403,4028,Site 1
2477,3572,Site 1
2535,3621,Site 1
2262,3930,Site 1
2966,4338,Site 1
2048,1677,Site 1
2414,3673,Site 1
2416,3811,Site 1
2323,3286,Site 1
1645,1985,Site 1
1509,1849,Site 1
2410,3066,Site 1
2175,3115,Site 1
1158,2624,Site 2
1880,2884,Site 2
1365,2652,Site 2
1258,2652,Site 2
1407,2860,Site 2
1712,3040,Site 2
767,2361,Site 2
1225,2280,Site 2
1718,2788,Site 2
1303,2716,Site 2
1864,3108,Site 2
1321,2429,Site 2
1599,2677,Site 2
1982,2198,Site 2
1276,2039,Site 2
2092,3182,Site 2
1121,2121,Site 2
1214,1785,Site 2
1220,2347,Site 2
1400,2406,Site 2
1925,3585,Site 2
1264,2667,Site 2
1394,3117,Site 2
1648,3039,Site 2
1060,2599,Site 2
1772,3507,Site 2
1301,3273,Site 2
1630,3271,Site 2
1280,3188,Site 2
1461,2975,Site 2
1750,3588,Site 2
1186,3009,Site 2
1384,3029,Site 2
1334,2750,Site 2
1207,2962,Site 2
1777,3181,Site 2
1320,2496,Site 2
1132,1661,Site 2
1294,3400,Site 2
1335,2533,Site 2
1750,3153,Site 2
1220,2436,Site 2
1228,2509,Site 2
1646,2728,Site 2
1462,2970,Site 2
1778,3856,Site 2
1050,2222,Site 2
1372,2448,Site 2
1523,1983,Site 2
1244,3022,Site 2
1899,4148,Site 2
1477,3145,Site 2
1235,2552,Site 2
1964,2850,Site 2
1273,2816,Site 2
1705,3126,Site 2
1305,2446,Site 2
1426,2994,Site 2
1348,2954,Site 2
1203,3529,Site 2
1825,3577,Site 2
1660,3577,Site 2
1127,2826,Site 2
1198,2766,Site 2
1488,3071,Site 2
1632,2956,Site 2
1896,3389,Site 2
2234,3389,Site 2
1386,2409,Site 2
1113,2228,Site 2
1383,2320,Site 2
1561,3215,Site 2
1669,2264,Site 2
2048,3054,Site 2
1484,2695,Site 2
1436,2786,Site 2
1671,2692,Site 2
1176,1737,Site 2
1861,4057,Site 2
1448,2677,Site 2
1187,2614,Site 2
1748,2957,Site 2
1288,3067,Site 2
1779,3065,Site 2
1394,2566,Site 2
1317,2686,Site 2
1427,2682,Site 2
1578,2838,Site 2
1629,3276,Site 2
1869,2787,Site 2
1237,1277,Site 2
1310,2530,Site 2
1582,3179,Site 2
2174,3323,Site 2
1843,2385,Site 2
2237,3091,Site 2
1313,2869,Site 2
1318,2941,Site 2
1672,2968,Site 2
1736,2865,Site 2
2176,3136,Site 2
2103,2818,Site 2
1318,2828,Site 2
1253,2338,Site 2
1624,2666,Site 2
1518,3036,Site 2
1913,3407,Site 2
1644,3182,Site 2
1142,1930,Site 2
1342,2904,Site 2
1722,2566,Site 2
1415,2889,Site 2
1877,3704,Site 2
1919,2992,Site 2
1321,2610,Site 2
1706,2632,Site 2
1523,2413,Site 2
1772,3242,Site 2
2619,2588,Site 2
1403,2545,Site 2
1536,2416,Site 2
1531,2866,Site 2
1501,2973,Site 2
1852,3325,Site 2
1872,2928,Site 2
1330,3087,Site 2
1293,2608,Site 2
1611,2543,Site 2
1448,3210,Site 2
1877,3648,Site 2
1637,2694,Site 2
1236,2303,Site 2
1834,2586,Site 2
1576,2974,Site 2
1363,2977,Site 2
1612,3189,Site 2
2002,2592,Site 2
1231,2684,Site 2
1394,2665,Site 2
1559,2854,Site 2
1438,3067,Site 2
1303,2452,Site 2
1382,2448,Site 2
1319,2379,Site 2
1469,2916,Site 2
1153,2819,Site 2
1340,2847,Site 2
1909,2940,Site 2
1281,2721,Site 2
1067,2330,Site 2
1474,2874,Site 2
1476,3065,Site 2
1712,3742,Site 2
1884,3070,Site 2
1402,2469,Site 2
1395,2851,Site 2
1521,2798,Site 2
1270,2840,Site 2
1605,3258,Site 2
1963,3010,Site 2
1153,2152,Site 2
1278,2371,Site 2
1748,2670,Site 2
1741,2873,Site 2
1739,3193,Site 2
1887,2955,Site 2
1316,2989,Site 2
1296,2728,Site 2
1755,2520,Site 2
1093,2695,Site 2
1667,3470,Site 2
1714,2527,Site 2
1314,2195,Site 2
1265,2195,Site 2
1336,2876,Site 2
1313,2334,Site 2
1686,2771,Site 2
1444,2107,Site 2
1235,2352,Site 2
1465,2930,Site 2
1223,3154,Site 2
1961,2860,Site 2
1738,3396,Site 2
1172,2167,Site 2
1286,2533,Site 2
1372,2763,Site 2
1430,2627,Site 2
1374,2857,Site 2
1686,3291,Site 2
866,1678,Site 2
1193,1484,Site 2
1202,2341,Site 2
1281,2786,Site 2
1571,2471,Site 2
1600,2812,Site 2
1304,2224,Site 2
1261,2268,Site 2
1274,2376,Site 2
1127,2380,Site 2
1335,2621,Site 2
1612,2653,Site 2
1160,1857,Site 2
1220,2403,Site 2
1299,2368,Site 2
1253,2551,Site 2
1668,2182,Site 2
1579,2690,Site 2
1104,1796,Site 2
1237,2172,Site 2
1354,2329,Site 2
1408,2180,Site 2
1889,3049,Site 2
1196,1768,Site 2
1498,1824,Site 2
1218,2217,Site 2
1362,2427,Site 2
1398,2230,Site 2
1480,2872,Site 2
1097,1447,Site 2
1145,2111,Site 2
1346,2486,Site 2
1142,2310,Site 2
1856,2342,Site 2
1563,2565,Site 2
1060,1902,Site 2
1134,1559,Site 2
1305,2651,Site 2
1608,2429,Site 2
1748,2896,Site 2
1652,2685,Site 2
1322,2222,Site 2
1380,2017,Site 2
1627,2138,Site 2
1511,2758,Site 2
1890,2557,Site 2
1689,2252,Site 2
1700,1610,Site 2
1299,1521,Site 2
1660,2497,Site 2
1366,2411,Site 2
1460,2688,Site 2
1495,2635,Site 2
1651,2689,Site 2
1249,2173,Site 2
1186,2040,Site 2
1509,2523,Site 2
1425,2539,Site 2
1622,2817,Site 2
1837,2628,Site 2
1228,2545,Site 2
1230,2533,Site 2
1382,2840,Site 2
1301,2635,Site 2
1742,2985,Site 2
1179,2320,Site 2
1209,2589,Site 2
1617,2601,Site 2
1143,1911,Site 2
1368,2167,Site 2
1379,2126,Site 2
1658,2439,Site 2
1285,2564,Site 2
1462,2660,Site 2
1295,2513,Site 2
1675,3257,Site 2
1214,2493,Site 2
1306,2172,Site 2
1464,2838,Site 2
1554,2860,Site 2
1813,2696,Site 2
1770,1573,Site 2
1236,2508,Site 2
1279,2796,Site 2
1597,2615,Site 2
1547,2907,Site 2
1683,3060,Site 2
2276,2967,Site 2
1655,2842,Site 2
1840,3187,Site 2
2309,3047,Site 2
1313,1905,Site 2
1449,1891,Site 2
1472,2267,Site 2
1694,2539,Site 2
1772,2773,Site 2
